Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Unnamed: 9,Stress
2.489,2.489,1,1,1,0,26.98404692,12.20342629,0.76147401,,621.5153972
2.498,2.498,1,1,1,0,26.98385264,12.20307999,0.761751027,,621.4977605
2.507,2.507,1,1,1,0,26.9846669,12.20222087,0.76228819,,621.454006
2.516,2.516,1,1,1,0,26.98448265,12.20011405,0.765446554,,621.3467061
2.525,2.525,1,1,1,0,26.98465095,12.19851624,0.768536853,,621.2653304
2.534,2.534,1,1,1,0,26.98491759,12.19702303,0.770148105,,621.1892822
2.543,2.543,1,1,1,0,26.98494466,12.19612726,0.770190881,,621.143661
2.552,2.552,1,1,1,0,26.98487502,12.19357333,0.769857532,,621.0135901
2.561,2.561,1,1,1,0,26.98522471,12.1913764,0.770284663,,620.9017014
2.57,2.57,1,1,1,0,26.98564093,12.18993439,0.770162599,,620.8282605
2.579,2.579,1,1,1,0,26.98563584,12.18776961,0.772278266,,620.718009
2.588,2.588,1,1,1,0,26.98575156,12.18539943,0.775463979,,620.597297
2.597,2.597,1,1,1,0,26.98580297,12.18332327,0.777852346,,620.4915592
2.606,2.606,1,1,1,0,26.98662854,12.18103313,0.778027206,,620.3749232
2.615,2.615,1,1,1,0,26.98600128,12.17861623,0.777667225,,620.2518312
2.624,2.624,1,1,1,0,26.9863396,12.17601475,0.777767694,,620.1193393
2.633,2.633,1,1,1,0,26.9866821,12.17434463,0.77794918,,620.0342804
2.642,2.642,1,1,1,0,26.98623448,12.17160818,0.778963755,,619.8949142
2.651,2.651,1,1,1,0,26.98643423,12.16851081,0.780924803,,619.7371665
2.66,2.66,1,1,1,0,26.98665177,12.16643086,0.78418656,,619.6312356
2.669,2.669,1,1,1,0,26.98642769,12.16333533,0.785141001,,619.4735814
2.678,2.678,1,1,1,0,26.98653861,12.1620797,0.784698937,,619.4096326
2.687,2.687,1,1,1,0,26.98672927,12.15953196,0.784690842,,619.2798776
2.696,2.696,1,1,1,0,26.9869053,12.1570624,0.78456167,,619.1541039
2.705,2.705,1,1,1,0,26.98709899,12.15531663,0.784551475,,619.0651927
2.714,2.714,1,1,1,0,26.98733103,12.15185916,0.786309373,,618.8891052
2.723,2.723,1,1,1,0,26.98713773,12.14883696,0.789620786,,618.7351856
2.732,2.732,1,1,1,0,26.98723413,12.14837863,0.791166413,,618.7118431
2.741,2.741,1,1,1,0,26.98757669,12.14572702,0.791856339,,618.5767975
2.75,2.75,1,1,1,0,26.98779098,12.14350536,0.790924151,,618.4636496
2.759,2.759,1,1,1,0,26.98795593,12.14127541,0.790850267,,618.3500791
2.768,2.768,1,1,1,0,26.98768206,12.13844018,0.790725315,,618.2056819
2.777,2.777,1,1,1,0,26.98829059,12.13550156,0.791304077,,618.0560194
2.786,2.786,1,1,1,0,26.98792758,12.13156357,0.793487267,,617.8554593
2.795,2.795,1,1,1,0,26.98768261,12.13046127,0.796195124,,617.7993191
2.804,2.804,1,1,1,0,26.98866021,12.12746202,0.797578109,,617.6465689
2.815,2.815,1,1,1,0,26.98756261,12.12309781,0.794639748,,617.4243012
2.824,2.824,1,1,1,0,26.98793785,12.1213295,0.794607566,,617.3342424
2.833,2.833,1,1,1,0,26.98837822,12.11788771,0.796211248,,617.1589533
2.842,2.842,1,1,1,0,26.98825363,12.11466721,0.798903792,,616.9949343
2.851,2.851,1,1,1,0,26.98802465,12.11065034,0.800527285,,616.7903572
2.86,2.86,1,1,1,0,26.98832256,12.10747232,0.800625942,,616.628502
2.869,2.869,1,1,1,0,26.98862638,12.10534413,0.799939224,,616.520114
