Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Stress
0.234,0.234,1,1,1,0,28.60680418,0.762929488,0.020417143,38.85568042
0.235,0.235,1,1,1,0,28.60747119,0.777215976,0.020037368,39.58328531
0.236,0.236,1,1,1,0,28.60819837,0.791313685,0.019893143,40.30127575
0.237,0.237,1,1,1,0,28.60830193,0.805162266,0.019954741,41.00657817
0.238,0.238,1,1,1,0,28.60825611,0.819366612,0.020478386,41.72999957
0.239,0.239,1,1,1,0,28.60872867,0.83376104,0.02191266,42.46310181
0.24,0.24,1,1,1,0,28.60915288,0.848173536,0.023264047,43.19712423
0.241,0.241,1,1,1,0,28.60919721,0.862209965,0.023759212,43.91199366
0.242,0.242,1,1,1,0,28.60920122,0.876016542,0.023480672,44.6151569
0.243,0.243,1,1,1,0,28.60961948,0.890683383,0.023131166,45.36213296
0.244,0.244,1,1,1,0,28.6103352,0.906072836,0.023007244,46.14591141
0.245,0.245,1,1,1,0,28.61056216,0.92081558,0.023010783,46.89675317
0.246,0.246,1,1,1,0,28.61065306,0.934603065,0.023305267,47.59894406
0.247,0.247,1,1,1,0,28.61129334,0.948746596,0.024684444,48.31926816
0.248,0.248,1,1,1,0,28.61179067,0.96349204,0.026396085,49.07024747
0.249,0.249,1,1,1,0,28.61179188,0.978777744,0.027115028,49.84874201
0.25,0.25,1,1,1,0,28.61176869,0.994342938,0.026968364,50.64147085
0.251,0.251,1,1,1,0,28.61185428,1.009338442,0.026583131,51.40518562
0.252,0.252,1,1,1,0,28.61224143,1.024382655,0.026283897,52.17138108
0.253,0.253,1,1,1,0,28.61248069,1.039655134,0.026164316,52.94920209
0.254,0.254,1,1,1,0,28.61264441,1.054409798,0.026304014,53.70065097
0.255,0.255,1,1,1,0,28.6130351,1.068617124,0.02754638,54.42422415
0.256,0.256,1,1,1,0,28.61342495,1.082833856,0.029328652,55.14827639
0.257,0.257,1,1,1,0,28.61361988,1.097511221,0.0303117,55.89578843
0.258,0.258,1,1,1,0,28.6134636,1.113037392,0.030220244,56.68652988
0.259,0.259,1,1,1,0,28.61358635,1.128498092,0.029806923,57.47393687
0.26,0.26,1,1,1,0,28.61377019,1.143230218,0.029652733,58.22423791
0.261,0.261,1,1,1,0,28.613903,1.158116292,0.029766932,58.98237943
0.262,0.262,1,1,1,0,28.61425197,1.17321061,0.029943343,59.75112672
0.263,0.263,1,1,1,0,28.61486869,1.188096218,0.030890852,60.50924453
0.264,0.264,1,1,1,0,28.61552946,1.202855725,0.03249988,61.26094006
0.265,0.265,1,1,1,0,28.6160199,1.218232419,0.033519901,62.0440687
0.266,0.266,1,1,1,0,28.61615773,1.234435011,0.033715442,62.86925991
0.267,0.267,1,1,1,0,28.61622265,1.250512991,0.033598226,63.68810475
0.268,0.268,1,1,1,0,28.61656891,1.266469341,0.033366177,64.50075497
0.269,0.269,1,1,1,0,28.617121,1.282344386,0.033046696,65.3092644
0.27,0.27,1,1,1,0,28.61756478,1.297933795,0.032912008,66.10322647
0.271,0.271,1,1,1,0,28.61772152,1.312953699,0.033670161,66.86818396
0.272,0.272,1,1,1,0,28.61759774,1.327339932,0.035485961,67.6008688
0.273,0.273,1,1,1,0,28.61757502,1.341525745,0.036919415,68.3233463
0.274,0.274,1,1,1,0,28.61808119,1.356747095,0.037299655,69.0985633
0.275,0.275,1,1,1,0,28.61864744,1.372962072,0.037072338,69.92438536
0.276,0.276,1,1,1,0,28.61903785,1.388751902,0.036701858,70.72855477
0.277,0.277,1,1,1,0,28.6190304,1.403800957,0.036373194,71.49499687
0.278,0.278,1,1,1,0,28.61897219,1.419329643,0.036085956,72.28586639
0.279,0.279,1,1,1,0,28.61912893,1.436042227,0.036691427,73.13703129
0.28,0.28,1,1,1,0,28.61958276,1.452361047,0.038599335,73.96814201
0.281,0.281,1,1,1,0,28.61982109,1.467803679,0.040215645,74.75462882
0.282,0.282,1,1,1,0,28.61994589,1.483395975,0.040529948,75.54873793
0.283,0.283,1,1,1,0,28.6201111,1.50006609,0.040002894,76.39773994
0.284,0.284,1,1,1,0,28.62057388,1.517304871,0.039749797,77.27570386
0.285,0.285,1,1,1,0,28.62117002,1.533777826,0.039914157,78.11466454
0.286,0.286,1,1,1,0,28.62138832,1.549823117,0.039965082,78.93184452
0.287,0.287,1,1,1,0,28.62153081,1.565985754,0.040515289,79.75500091
0.288,0.288,1,1,1,0,28.62192476,1.582778711,0.042268895,80.61025918
0.289,0.289,1,1,1,0,28.62239601,1.599826105,0.043846797,81.47847585
0.29,0.29,1,1,1,0,28.62287797,1.616874244,0.044279993,82.34673046
0.291,0.291,1,1,1,0,28.62321595,1.633699797,0.043968167,83.20364885
0.292,0.292,1,1,1,0,28.62320859,1.651111245,0.043814685,84.09040664
0.293,0.293,1,1,1,0,28.6233834,1.668567117,0.043911934,84.97942692
